adm2_name,m_concentration_ratio_7d,m_days_ge_10_7d,m_days_ge_20_7d,m_days_ge_50_7d,m_max_24h_7d,m_max_72h_7d,m_mean_wet_intensity_7d,m_peak_rank_24h_7d,m_peak_rank_72h_7d,m_rain_j,m_rain_jm1,m_rain_jm2,m_rain_jm3,m_rain_jp1,m_rain_jp2,m_rain_jp3,m_sum_72h_ref,m_sum_7d,m_wet_days_7d,event
Abricots,0.5188188089029236,3.930905693008596,1.592751062611455,0.6508056876421213,51.937564641718005,66.1447111255379,25.449892532356717,0.0,-2.0,51.937564641718005,0.0,14.207144755796795,17.694913606098698,0.0,0.0,17.323983548234516,51.937564641718005,101.163607323862,3.974141676699134,Beryl_2024
Acul du Nord,0.4411043579877592,1.861796937229788,0.9995362894899636,0.0,25.4797149733465,31.18816398048717,11.576298201973744,0.0,-1.885065871740922,25.4797149733465,0.8598366399229955,4.601688603662185,15.41893592789142,0.2550822950166987,4.1330422830009335,7.416375246505467,29.86783911006121,58.16467638024784,5.092243877421034,Beryl_2024
Anse Rouge,0.5130388892359203,1.4111111111111112,0.4111111111111111,0.0,24.81759974161784,37.74082319471572,11.830101892683242,0.0,0.0,24.81759974161784,0.0,0.0,9.579584132300482,7.647517432106866,5.275706100463867,0.0,37.74082319471572,47.32040757073297,4.0,Beryl_2024
Anse d'Hainault,0.7016339358588817,2.078883957521765,1.037747912900613,0.680633291950128,53.1207744914798,54.07793241810204,26.903422543099264,0.0,-1.8936901689061767,53.1207744914798,0.0,0.0,5.14983104355878,0.9571578252372804,0.0,16.352424266418346,54.07793241810204,75.58018974934076,2.828079167665104,Beryl_2024
Anse à Galets,0.517213894189214,1.442893817398651,0.6983919194918892,0.0879309164904348,26.832433176948243,36.08522727711664,11.299667595119905,0.0,-0.9666666666666668,26.832433176948243,2.0311954504993874,0.0,6.512321742057831,7.12303365529371,0.0985645453135172,8.784731542872294,34.05403145686998,51.3822812951124,4.514898433775903,Beryl_2024
Anse-à-Foleur,0.4353002910674051,2.524907089312247,0.9187234832428334,0.0,25.978137452827536,34.998994692366715,13.908896440635088,0.0,-0.6338790696693121,25.978137452827536,0.0,0.0,14.08687273668487,6.655364881688587,2.36549264683074,10.492137418467786,34.998994692366715,59.57800529004695,4.366120930330688,Beryl_2024
Anse-à-Pître,0.4941273853182792,1.0,0.25,0.0,20.50441944599152,31.407975673675537,8.18035614490509,0.0,-1.0,20.50441944599152,5.194464534521103,0.0,0.0,5.709091514348984,2.5972322672605515,6.896572470664978,28.81074357032776,40.901779651641846,5.0,Beryl_2024
Anse-à-Veau,0.5855288831242869,2.8357809451907445,1.1307882146627144,0.3333333333333333,46.74683738060619,60.69621133764037,23.32734517244597,0.0,-1.0,46.74683738060619,0.9778758684794108,0.0,3.322615330680988,12.97149769014112,0.0,16.182966240566795,59.71833594599811,80.20179171602418,3.496289833101758,Beryl_2024
Aquin,0.6258815956620076,1.5792087459558943,1.0,0.0,36.81919954109095,47.98302224464469,14.898403111192705,0.0,-1.0657707905954903,36.81919954109095,4.813207793377069,0.4114965166895815,0.1283482187231181,6.350614801494719,0.0,10.574159598916753,43.1698143356406,59.097026341989576,3.993182270816372,Beryl_2024
Arcahaie,0.5215537254213909,2.109921841075784,1.2516988019254411,0.3012646482002871,40.5920735652084,55.85334974280045,15.569708920859467,0.0,-0.474887604220112,40.5920735652084,1.9763039408492595,0.0,7.420275216834995,10.396452503435317,4.196866631444568,12.71753319057017,55.18539231189519,77.29950530156891,5.124985766504807,Beryl_2024
Arnaud,0.6084332032886683,2.6233468319782136,1.0497742406558146,0.5843606925238726,58.70450459560084,71.3979432971612,24.36231000648929,0.0,-1.0497742406558146,58.70450459560084,0.5330098126218724,0.4772548487998034,6.733542671890073,12.160431108067405,0.0,17.87553527824724,70.8649336660842,96.48427787549012,3.990753801697176,Beryl_2024
Arniquet,0.5481754837475047,3.0,1.929290056040095,0.5655184826027352,49.20069227246034,70.88436767657913,29.88986755068807,0.0,0.0,49.20069227246034,0.0,0.0,0.0,0.0,21.6836744603464,18.78523664761755,70.88436767657913,89.6696019721242,3.0,Beryl_2024
Bahon,0.4159302418404892,2.0,0.4058457592994153,0.0,21.22229270332912,27.569472177978952,8.881531428694608,0.0,-2.0,21.22229270332912,2.660436527659147,3.686742724427256,15.629496171956584,0.0,3.686742724427256,3.9722307321853294,24.909035407779225,50.85794174849841,5.777051694035818,Beryl_2024
